Time,VitaminC (mg/dL),Glucose (mg/dL)
12/21/2023 0:13,6.145143,90.48285743
12/21/2023 0:13,6.045143,91.14032551
12/21/2023 0:13,5.945143,90.39018257
12/21/2023 0:13,6.145143,91.76884753
12/21/2023 0:13,6.245143,89.48824752
12/21/2023 0:13,6.145143,92.53814186
12/21/2023 0:13,6.045143,92.28764088
12/21/2023 0:13,6.245143,83.77125964
12/21/2023 0:13,6.145143,90.10454606
12/21/2023 0:13,6.045143,84.30940903
12/21/2023 0:13,6.145143,87.65069664
12/21/2023 0:13,6.045143,89.73530821
12/21/2023 0:14,5.996286,93.67655149
12/21/2023 0:14,6.177714,105.1456231
12/21/2023 0:14,6.145143,88.59951955
12/21/2023 0:14,6.045143,95.60903596
12/21/2023 0:14,6.145143,93.02644951
12/21/2023 0:14,6.045143,89.11659871
12/21/2023 0:14,5.945143,89.43226411
12/21/2023 0:14,6.145143,89.23955815
12/21/2023 0:14,6.245143,95.16766252
12/21/2023 0:14,6.145143,94.60511532
12/21/2023 0:14,6.045143,98.31987587
12/21/2023 0:14,6.245143,84.52596409
12/21/2023 0:15,6.145143,93.53658431
12/21/2023 0:15,6.045143,86.22409806
12/21/2023 0:15,6.145143,93.49077581
12/21/2023 0:15,6.045143,91.09197264
12/21/2023 0:15,5.996286,89.35745759
12/21/2023 0:15,6.177714,88.54185418
12/21/2023 0:15,6.145143,89.04572722
12/21/2023 0:15,6.045143,80.40285779
12/21/2023 0:15,5.945143,90.18209931
12/21/2023 0:15,6.145143,88.57569007
12/21/2023 0:15,6.245143,87.68872971
12/21/2023 0:15,6.145143,89.78464663
12/21/2023 0:16,6.045143,88.34080306
12/21/2023 0:16,6.145143,90.27742391
12/21/2023 0:16,6.045143,100.1202172
12/21/2023 0:16,5.945143,88.08613206
12/21/2023 0:16,6.145143,91.73522455
12/21/2023 0:16,6.245143,95.65672092
12/21/2023 0:16,6.145143,89.1693895
12/21/2023 0:16,6.045143,84.53738981
12/21/2023 0:16,6.145143,86.20596276
12/21/2023 0:16,6.045143,91.07369735
12/21/2023 0:16,5.945143,87.60158413
12/21/2023 0:16,6.145143,84.98126076
12/21/2023 0:17,6.245143,89.15149185
12/21/2023 0:17,6.145143,94.64409748
12/21/2023 0:17,6.045143,87.65563101
12/21/2023 0:17,6.245143,88.59531505
12/21/2023 0:17,6.145143,81.78898507
12/21/2023 0:17,6.045143,93.20087033
12/21/2023 0:17,6.145143,95.02610656
12/21/2023 0:17,6.045143,88.71255432
12/21/2023 0:17,5.996286,86.1629124
12/21/2023 0:17,6.177714,99.63304304
12/21/2023 0:17,6.145143,92.41642642
12/21/2023 0:17,6.045143,91.89816261
12/21/2023 0:18,5.945143,99.75479957
12/21/2023 0:18,6.145143,87.28703262
12/21/2023 0:18,6.245143,83.28801001
12/21/2023 0:18,6.145143,98.71237315
12/21/2023 0:18,6.045143,92.74212423
12/21/2023 0:18,6.145143,87.06999873
12/21/2023 0:18,6.045143,93.69004041
12/21/2023 0:18,5.945143,84.89955421
12/21/2023 0:18,6.145143,90.52757672
12/21/2023 0:18,6.245143,92.21310863
12/21/2023 0:18,6.145143,91.70172595
12/21/2023 0:18,6.045143,89.51632283
12/21/2023 0:19,6.245143,86.78604375
12/21/2023 0:19,6.145143,81.77120103
12/21/2023 0:19,6.045143,92.63968889
12/21/2023 0:19,6.145143,90.75746818
12/21/2023 0:19,6.045143,85.32455408
12/21/2023 0:19,5.996286,91.01675992
12/21/2023 0:19,6.177714,90.51414708
12/21/2023 0:19,6.145143,85.68400168
12/21/2023 0:19,6.045143,82.89803258
12/21/2023 0:19,5.945143,96.91348602
12/21/2023 0:19,6.145143,99.03070874
12/21/2023 0:19,6.245143,88.7281283
12/21/2023 0:20,6.145143,89.31216617
12/21/2023 0:20,6.045143,93.19475723
12/21/2023 0:20,6.145143,92.2901117
12/21/2023 0:20,6.045143,87.35233774
12/21/2023 0:20,5.945143,91.89705382
12/21/2023 0:20,6.145143,91.61284909
12/21/2023 0:20,6.245143,79.23095584
12/21/2023 0:20,6.145143,88.24369619
12/21/2023 0:20,6.045143,75.34364545
12/21/2023 0:20,6.145143,86.08798543
12/21/2023 0:20,6.045143,88.07947781
12/21/2023 0:20,5.945143,95.03420512
12/21/2023 0:21,6.145143,99.76296525
12/21/2023 0:21,6.245143,90.21957242
12/21/2023 0:21,6.145143,87.66282225
