Time,VitaminC (mg/dL),Glucose (mg/dL)
2023-12-21 00:17:25,4.881323078682181,90.50776374717536
2023-12-21 00:17:30,5.015889790944995,92.3252553297313
2023-12-21 00:17:35,5.218429359785915,87.20931874020546
2023-12-21 00:17:40,4.912033804041459,87.18451099413205
2023-12-21 00:17:45,4.967795645245117,89.69267242060108
2023-12-21 00:17:50,4.909262090107984,88.24840827106922
2023-12-21 00:17:55,4.962297219929182,90.56710747222806
2023-12-21 00:18:00,5.141810129502268,88.65123193209186
2023-12-21 00:18:05,5.043415980633873,88.96251623686366
2023-12-21 00:18:10,5.07114274493353,93.03984289236537
2023-12-21 00:18:15,5.1263157642121815,89.24800499047518
2023-12-21 00:18:20,5.210384352640564,91.29614020383607
2023-12-21 00:18:25,4.952873192469052,92.3976730006439
2023-12-21 00:18:30,4.81869775716063,89.62785886751342
2023-12-21 00:18:35,5.04812767957241,89.51174201845849
2023-12-21 00:18:40,4.961891141544304,87.22193967025291
2023-12-21 00:18:45,5.091423174368257,86.95487280795122
2023-12-21 00:18:50,5.016783296555615,92.28763926519905
2023-12-21 00:18:55,4.970706093764961,89.83716629284409
2023-12-21 00:19:00,5.032497921861084,87.3755398851922
2023-12-21 00:19:05,5.008246243957454,92.69978218147982
2023-12-21 00:19:10,4.96550894112306,91.15026151470072
2023-12-21 00:19:15,4.987549226930687,85.77799400343706
2023-12-21 00:19:20,5.131339995782537,91.76568573089104
2023-12-21 00:19:25,4.969223923507371,89.3334394689182
2023-12-21 00:19:30,4.960999686301884,92.10774071052974
2023-12-21 00:19:35,4.987485681232648,87.6715431329021
2023-12-21 00:19:40,4.874099214437244,91.14209143849818
2023-12-21 00:19:45,5.0282217897426245,88.18597155842443
2023-12-21 00:19:50,5.090820913115515,90.8132315578132
2023-12-21 00:19:55,4.969979902559904,89.23873347491701
2023-12-21 00:20:00,4.863615239273274,90.72742745437229
2023-12-21 00:20:05,4.897378229441477,93.47050640252156
2023-12-21 00:20:10,5.0625390081246815,92.67028451746933
2023-12-21 00:20:15,5.08578567042073,91.27453676134333
2023-12-21 00:20:20,4.806626863245761,88.60338063545991
2023-12-21 00:20:25,5.10292768869989,90.5574301898048
2023-12-21 00:20:30,4.897581656916364,88.2907318596172
2023-12-21 00:20:35,5.107289481998746,87.49308570632355
2023-12-21 00:20:40,4.897688539208654,89.45220489834398
2023-12-21 00:20:45,5.239040365751416,91.9774798399954
2023-12-21 00:20:50,5.150777518987304,88.59876095816605
2023-12-21 00:20:55,4.816640698730754,89.44689388977218
2023-12-21 00:21:00,5.050737808857081,90.28206958893891
2023-12-21 00:21:05,4.8986517349692615,91.62186842398177
2023-12-21 00:21:10,4.988427505070075,91.29639938634297
2023-12-21 00:21:15,4.9323564939646625,86.79267809701433
2023-12-21 00:21:20,5.0861720890403115,90.89440146625871
2023-12-21 00:21:25,5.047604106677486,89.65731508305389
2023-12-21 00:21:30,5.026426218875086,90.97002103845526
2023-12-21 00:21:35,4.939861742988296,90.89669179359076
2023-12-21 00:21:40,5.018809618108708,88.87007714091666
2023-12-21 00:21:45,5.000829228866489,90.13660851136035
2023-12-21 00:21:50,5.024729102194818,83.78227128263157
2023-12-21 00:21:55,4.949874312624878,93.04826198804217
2023-12-21 00:22:00,4.9392077402925425,86.59922054931178
2023-12-21 00:22:05,4.970143341742447,89.13258394159652
2023-12-21 00:22:10,4.884876422662329,92.54891195839659
2023-12-21 00:22:15,5.003380022268611,90.51332611104351
2023-12-21 00:22:20,5.081244696395096,90.38947741320483
2023-12-21 00:22:25,5.033750689889523,91.39733348050815
2023-12-21 00:22:30,4.951064290564103,88.27813531934876
2023-12-21 00:22:35,5.147382854854651,91.76338238487473
2023-12-21 00:22:40,4.795686968150041,90.10951453586593
2023-12-21 00:22:45,5.02340317809001,88.16422557514312
2023-12-21 00:22:50,5.104619112525813,89.63692479140433
2023-12-21 00:22:55,4.984014823789163,89.81639705050041
2023-12-21 00:23:00,4.955507508797624,93.29297440744205
2023-12-21 00:23:05,5.089676559866179,88.77558183211967
2023-12-21 00:23:10,4.867616499251426,88.42029174466204
2023-12-21 00:23:15,4.965095726219757,91.195652671858
2023-12-21 00:23:20,4.998310789687177,90.93521135376592
2023-12-21 00:23:25,4.865751875563067,90.78068088044152
2023-12-21 00:23:30,5.0373967288398385,87.88060769166862
2023-12-21 00:23:35,5.014687557748348,88.81290597626288
2023-12-21 00:23:40,5.140229357070223,89.1783029273495
